sample	packet	npc_index	npc_id	name	anim0	anim1	anim2	anim3	delay	animgroup	death_candidate	kill_candidate
set1	1149	11766	112	Moss giant	4657	4657	4657	4657	128		0	0
set1	1149	51178	30265	None	35204	35204	35204	35204	128		0	0
set1	1149	51210	30267	None	24743	24743	24743	24743	128		0	0
set1	1150	11766	112	Moss giant	4659	4659	4659	4659	128		0	1
set1	1155	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
set1	1156	51178	30265	None	35204	35204	35204	35204	128		0	0
set1	1156	51210	30267	None	24743	24743	24743	24743	128		0	0
set1	1157	11767	1588	Moss giant	4659	4659	4659	4659	128		0	1
set1	1164	11770	4688	Moss giant	4658	4658	4658	4658	128		0	0
set1	1166	51178	30265	None	35204	35204	35204	35204	128		0	0
set1	1166	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
set1	1167	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
set1	1168	51186	30266	None	35249	35249	35249	35249	128		0	0
set1	1168	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
set1	1169	51210	30267	None	24743	24743	24743	24743	128		0	0
set1	1169	11770	4688	Moss giant	4658	4658	4658	4658	128		0	0
set1	1170	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
set1	1171	51178	30265	None	35204	35204	35204	35204	128		0	0
set1	1173	11770	4688	Moss giant	4659	4659	4659	4659	128		0	1
set1	1190	51210	30267	None	24743	24743	24743	24743	128		0	0
set1	1191	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
set1	1193	51178	30265	None	35204	35204	35204	35204	128		0	0
set1	1194	51186	30266	None	35249	35249	35249	35249	128		0	0
set1	1194	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
set1	1195	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
set1	1196	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
set1	1197	51210	30267	None	24743	24743	24743	24743	128		0	0
set1	1198	11768	1587	Moss giant	4659	4659	4659	4659	128		0	1
set1	1229	51178	30265	None	35205	35205	35205	35205	128		0	0
set1	1233	51186	30266	None	35251	35251	35251	35251	128		0	0
set1	1240	51210	30267	None	24727	24727	24727	24727	128		0	0
set1	1394	22949	5910	Cook	896	896	896	896	128		0	0
set1	1404	21596	1017	Chicken	24186	24186	24186	24186	128		0	0
set1	1458	21620	708	Imp	4289	4289	4289	4289	128		0	0
set1	1489	21592	41	Chicken	24186	24186	24186	24186	128		0	0
set1	1489	21594	1017	Chicken	24186	24186	24186	24186	128		0	0
set1	1510	21597	41	Chicken	24186	24186	24186	24186	128		0	0
set1	1531	21595	41	Chicken	24186	24186	24186	24186	128		0	0
