struct_id	name	book	book_enum	slot	category	category_raw	level	style	style_raw	adrenaline_tenths	cooldown_ticks	duration_ticks	animation	anim_enum	anim_default	spotanim_2920	spotanim_2933	spotanim_2940	icon	icon2	desc_param	description
14747	Bones to Bananas	magic	6740	22	spell		15	magic	4				722			141			14380	3468	2795	Converts all bones, up to big bones, in your backpack into edible bananas.
14748	Air Bolt	magic	6740	23	spell		17	magic	4		4		37253						14352	3440	2795	A basic air spell.
14749	Curse	magic	6740	24	spell		19	magic	4		3		18257				110	109	14391	3694	2795	Increases the target's damage received by <col=ffffff>5%</col> for <col=ffffff>1</col> minute.
14750	Bind	magic	6740	25	spell		20	magic	4		3		18258				181	178	14392	3695	2795	Prevents creatures from moving for <col=ffffff>12</col> seconds, or players for <col=ffffff>6</col> seconds.
14751	Low Level Alchemy	magic	6740	26	spell		21	magic	4				712			1698	3633		14378	3466	2795	Converts the targeted item into coins.
14752	Water Bolt	magic	6740	27	spell		23	magic	4		4		37263						14353	3441	2795	A basic water spell.
14753	Varrock Teleport	magic	6740	28	spell		25	magic	4										36137	36179	2795	Teleport yourself to Varrock.
14754	Lvl-2 Enchant	magic	6740	29	spell		27	magic	4										14385	3473	2795	Imbues emerald and jade jewellery with magical properties.
14755	Earth Bolt	magic	6740	30	spell		29	magic	4		4		37273						14354	3442	2795	A basic earth spell.
14756	Lumbridge Teleport	magic	6740	31	spell		31	magic	4										36135	36177	2795	Teleport yourself to Lumbridge.
14757	Telekinetic Grab	magic	6740	32	spell		33	magic	4				18300			142	144	143	14332	3413	2795	Magically place the targeted item into your backpack.
14758	Fire Bolt	magic	6740	33	spell		35	magic	4		4		37283						14355	3443	2795	A basic fire spell.
14759	Falador Teleport	magic	6740	34	spell		37	magic	4										36132	36175	2795	Teleport yourself to Falador.
14760	House Teleport	magic	6740	36	spell		40	magic	4										36133	36176	2795	Teleport yourself to your player-owned-house.
53305	House Teleport	magic	6740	264	spell		1	magic	4										36134	36134	2795	Teleport yourself to your player-owned-house.
14761	Air Blast	magic	6740	37	spell		41	magic	4		4		37255						14356	3444	2795	A standard air spell.
14762	Superheat Item	magic	6740	38	spell		43	magic	4				18300			5230			14372	3460	2795	Smelt the targeted ore into a metal bar without using a furnace, or re-heat your unfinished smithing item.<br>If used within the Artisans' Workshop, this works with the smelting gauntlets.
14763	Camelot Teleport	magic	6740	39	spell		45	magic	4										36130	36173	2795	Teleport yourself to Camelot.
14764	Water Blast	magic	6740	40	spell		47	magic	4		4		37265						14357	3445	2795	A standard water spell.
14765	Lvl-3 Enchant	magic	6740	41	spell		49	magic	4										14384	3472	2795	Imbues ruby and topaz jewellery with magical properties.
14766	Snare	magic	6740	43	spell		50	magic	4		3		18264				180	178	14393	3696	2795	Prevents creatures from moving for <col=ffffff>18</col> seconds, or players for <col=ffffff>9</col> seconds.
14767	Slayer Dart	magic	6740	44	spell		50	magic	4		4		37291						14388	3476	2795	A powerful air spell, which is particularly effective against certain Slayer creatures.
14768	Ardougne Teleport	magic	6740	45	spell		51	magic	4										35028	35051	2795	Teleport yourself to Ardougne.
14769	Earth Blast	magic	6740	46	spell		53	magic	4		4		37275						14358	3446	2795	A standard earth spell.
14770	High Level Alchemy	magic	6740	47	spell		55	magic	4				713			1698			14379	3467	2795	Converts the targeted item into even more coins!
14771	Charge Water Orb	magic	6740	48	spell		56	magic	4				18604			149			14374	3462	2795	Converts unpowered orbs in your backpack into water orbs. Must be cast on the water obelisk near Taverley.
14772	Lvl-4 Enchant	magic	6740	49	spell		57	magic	4										14383	3471	2795	Imbues diamond jewellery with magical properties.
14773	Watchtower Teleport	magic	6740	50	spell		58	magic	4										35033	35056	2795	Teleport yourself to Yanille.
14774	Fire Blast	magic	6740	51	spell		59	magic	4		4		37285						14359	3447	2795	A standard fire spell.
14775	Charge Earth Orb	magic	6740	52	spell		60	magic	4				18605			151			14375	3463	2795	Converts unpowered orbs in your backpack into earth orbs. Must be cast on the earth obelisk near Edgeville.
14776	Bones to Peaches	magic	6740	53	spell		60	magic	4				722			141			14381	3469	2795	Converts all bones, up to big bones, in your backpack into edible peaches.
14777	Divine Storm	magic	6740	54	spell		60	magic	4		4		37293						35026	35049	2795	A powerful air spell.
14778	Trollheim Teleport	magic	6740	57	spell		61	magic	4										35032	35055	2795	Teleport yourself to the summit of Trollheim.
28493	God Wars Dungeon Teleport	magic	6740	170	spell		61	magic	4										35029	35052	2795	Teleport yourself to the God Wars Dungeon.
14779	Air Wave	magic	6740	58	spell		62	magic	4		4		37257						14360	3448	2795	A powerful air spell.
14780	Charge Fire Orb	magic	6740	59	spell		63	magic	4				18606			152			14376	3464	2795	Converts unpowered orbs in your backpack into fire orbs. Must be cast on the fire obelisk near Taverley.
14781	Ape Atoll Teleport	magic	6740	60	spell		64	magic	4										35027	35050	2795	Teleport yourself to Ape Atoll.
14782	Water Wave	magic	6740	61	spell		65	magic	4		4		37267						14361	3449	2795	A powerful water spell.
14783	Charge Air Orb	magic	6740	62	spell		66	magic	4				18607			150			14373	3461	2795	Converts unpowered orbs in your backpack into air orbs. Must be cast on the air obelisk near Edgeville.
14784	Vulnerability	magic	6740	63	spell		66	magic	4		3		18271				89	168	14395	3698	2795	Increases the target's damage received by <col=ffffff>10%</col> for <col=ffffff>1</col> minute.
14785	Lvl-5 Enchant	magic	6740	64	spell		68	magic	4										14386	3474	2795	Imbues dragonstone and moonstone jewellery with magical properties.
14786	Earth Wave	magic	6740	65	spell		70	magic	4		4		37277						14362	3450	2795	A powerful earth spell.
14787	Enfeeble	magic	6740	66	spell		73	magic	4		3		18273				172	171	14371	3459	2795	Reduces the target's damage dealt by <col=ffffff>10%</col> for <col=ffffff>1</col> minute.
14788	Tele-other Lumbridge	magic	6740	67	spell		74	magic	4										36140	36182	2795	Teleport the targeted player to Lumbridge.
14789	Fire Wave	magic	6740	68	spell		75	magic	4		4		37287						14363	3451	2795	A powerful fire spell.
14790	Storm of Armadyl	magic	6740	69	spell		77	magic	4		4		37295						35025	35048	2795	A very powerful air spell.
14791	Entangle	magic	6740	70	spell		79	magic	4		3		18276				179	178	14394	3697	2795	Prevents creatures from moving for <col=ffffff>24</col> seconds, or players for <col=ffffff>12</col> seconds.
14792	Stagger	magic	6740	71	spell		80	magic	4		3		18277				80	174	14377	3465	2795	Reduces the target's chance to hit by <col=ffffff>10%</col> for <col=ffffff>1</col> minute.
14793	Air Surge	magic	6740	73	spell		81	magic	4		4		37259						14364	3452	2795	A very powerful air spell.
14794	Tele-other Falador	magic	6740	74	spell		82	magic	4										36139	36181	2795	Teleport the targeted player to Falador.
14795	Teleport Block	magic	6740	75	spell		85	magic	4		3		10503				1843	1842	14344	3432	2795	Prevent the targeted player from using teleport spells and items for <col=ffffff>5</col> minutes.
14798	Earth Surge	magic	6740	76	spell		90	magic	4		4		37279						14366	3454	2795	A very powerful earth spell.
14797	Lvl-6 Enchant	magic	6740	77	spell		87	magic	4										14387	3475	2795	Imbues onyx, alchemical onyx, hydrix and alchemical hydrix jewellery with magical properties.
14796	Water Surge	magic	6740	78	spell		85	magic	4		4		37269						14365	3453	2795	A very powerful water spell.
14799	Tele-other Camelot	magic	6740	79	spell		90	magic	4										36138	36180	2795	Teleport the targeted player to Camelot.
14800	Fire Surge	magic	6740	80	spell		95	magic	4		4		37289						14367	3455	2795	A very powerful fire spell.
14801	Smoke Rush	magic	6740	81	spell		50	magic	4		4		37302						25915	6840	2795	A powerful air spell.
14802	Shadow Rush	magic	6740	82	spell		52	magic	4		4		37310						25919	6844	2795	A powerful earth spell.
14803	Paddewwa Teleport	magic	6740	83	spell		54	magic	4										36128	36171	2795	Teleport yourself to the ancient city of Paddewwa (Edgeville).
14804	Blood Rush	magic	6740	84	spell		56	magic	4		4		37318						25927	6852	2795	A powerful fire spell.
14805	Ice Rush	magic	6740	85	spell		58	magic	4		4		37326						25923	6848	2795	A powerful water spell.
14806	Senntisten Teleport	magic	6740	86	spell		60	magic	4										36129	36172	2795	Teleport yourself to the ancient city of Senntisten (Varrock Dig Site).
14807	Smoke Burst	magic	6740	87	spell		62	magic	4		4		37304						25916	6841	2795	A powerful area air spell.
14808	Shadow Burst	magic	6740	88	spell		64	magic	4		4		37312						25920	6845	2795	A powerful area earth spell.
14809	Kharyrll Teleport	magic	6740	89	spell		66	magic	4										36126	36169	2795	Teleport yourself to the ancient city of Kharyrll (Canifis).
14810	Blood Burst	magic	6740	90	spell		68	magic	4		4		37320						25928	6853	2795	A powerful area fire spell.
14811	Ice Burst	magic	6740	91	spell		70	magic	4		4		37328						25924	6849	2795	A powerful area water spell.
14812	Lassar Teleport	magic	6740	92	spell		72	magic	4										36127	36170	2795	Teleport yourself to the ancient city of Lassar (Ice Mountain).
14813	Smoke Blitz	magic	6740	93	spell		74	magic	4		4		37306						25917	6842	2795	A very powerful air spell.
14814	Shadow Blitz	magic	6740	94	spell		76	magic	4		4		37314						25921	6846	2795	A very powerful earth spell.
14815	Dareeyak Teleport	magic	6740	95	spell		78	magic	4										36124	36167	2795	Teleport yourself to the ancient city of Dareeyak (Western Wilderness).
14816	Blood Blitz	magic	6740	96	spell		80	magic	4		4		37322						25929	6854	2795	A very powerful fire spell.
14817	Ice Blitz	magic	6740	97	spell		82	magic	4		4		37330						25925	6850	2795	A very powerful water spell.
14818	Carrallangar Teleport	magic	6740	98	spell		84	magic	4										36123	36166	2795	Teleport yourself to the ancient city of Carrallangar (Graveyard of Shadows).
14819	Smoke Barrage	magic	6740	99	spell		86	magic	4		4		37308						25918	6843	2795	A very powerful area air spell.
14820	Shadow Barrage	magic	6740	100	spell		88	magic	4		4		37316						25922	6847	2795	A very powerful area earth spell.
14821	Annakarl Teleport	magic	6740	101	spell		90	magic	4										36122	36165	2795	Teleport yourself to the ancient city of Annakarl (Demonic Ruins).
14822	Blood Barrage	magic	6740	102	spell		92	magic	4		4		37324						25930	6855	2795	A very powerful area fire spell.
14823	Ice Barrage	magic	6740	103	spell		94	magic	4		4		37332						25926	6851	2795	A very powerful area water spell.
14824	Ghorrock Teleport	magic	6740	104	spell		96	magic	4										36125	36168	2795	Teleport yourself to the ancient city of Ghorrock (Ice Plateau).
14825	Bake Pie	magic	6740	105	spell		65	magic	4										14402	6043	2795	Bakes all uncooked pies in your backpack.
14826	Cure Plant	magic	6740	106	spell		66	magic	4										14426	6102	2795	Cure the targeted farming patch of disease.
14827	Monster Examine	magic	6740	107	spell		66	magic	4										12512	16385	2795	See details about the targeted creature, such as its maximum hit.
14828	NPC Contact	magic	6740	108	spell		67	magic	4										14427	6103	2795	Telepathically speak with a selection of useful NPCs.
14829	Cure Other	magic	6740	109	spell		68	magic	4										14418	6070	2795	Cure the targeted player of poison.
14830	Humidify	magic	6740	110	spell		68	magic	4										14437	6117	2795	Fills all containers in your backpack with water.
14831	Moonclan Teleport	magic	6740	111	spell		69	magic	4										14403	6044	2795	Teleport yourself to Lunar Isle.
14832	Tele-group Moonclan	magic	6740	112	spell		70	magic	4										14428	6104	2795	Teleport yourself and all nearby players to Lunar Isle.
14833	Ourania Teleport	magic	6740	113	spell		71	magic	4										14442	6122	2795	Teleport yourself to the Ourania Cave (ZMI Altar).
14834	Cure Me	magic	6740	114	spell		71	magic	4										14421	6082	2795	Cure yourself of poison.
14835	Hunter Kit	magic	6740	115	spell		71	magic	4										14438	6118	2795	Conjure a selection of useful Hunter equipment.
14836	South Falador Teleport	magic	6740	116	spell		72	magic	4										14444	6124	2795	Teleport yourself to the farming patch south of Falador.
14837	Waterbirth Teleport	magic	6740	117	spell		72	magic	4										14404	6045	2795	Teleport yourself to Waterbirth Island.
14838	Tele-group Waterbirth	magic	6740	118	spell		73	magic	4										14429	6105	2795	Teleport yourself and all nearby players to Waterbirth Island.
14839	Cure Group	magic	6740	119	spell		74	magic	4										14424	6100	2795	Cure yourself and all nearby players of poison.
14840	Repair Rune Pouch	magic	6740	120	spell		75	magic	4										14445	6125	2795	Repairs and strengthens the targeted Rune Pouch.
14841	Barbarian Teleport	magic	6740	121	spell		75	magic	4										14406	6047	2795	Teleport yourself to the Barbarian Outpost.
14842	Stat Spy	magic	6740	122	spell		75	magic	4										14435	6115	2795	See details about the targeted player, such as their skill levels.
14843	North Ardougne Teleport	magic	6740	123	spell		76	magic	4										14446	6126	2795	Teleport yourself to the farming patch on Manor Farm.
14844	Tele-group Barbarian	magic	6740	124	spell		76	magic	4										14430	6106	2795	Teleport yourself and all nearby players to the Barbarian Outpost.
14845	Superglass Make	magic	6740	125	spell		77	magic	4										14407	6048	2795	Create molten glass, robust glass and crystal glass from the resources in your backpack without the use of a furnace or robust glass machine.<br>Creating molten glass has the chance to create an additional piece.
14846	Remote Farm	magic	6740	126	spell		78	magic	4										14447	6128	2795	View the status of any farming patch. Also allows any farming patch to be cured of disease. Fertile Soil can be cast on any appropriate patch using this spell.
14847	Khazard Teleport	magic	6740	127	spell		78	magic	4										14408	6049	2795	Teleport yourself to Port Khazard.
14848	Tele-group Khazard	magic	6740	128	spell		79	magic	4										14431	6107	2795	Teleport yourself and all nearby players to Port Khazard.
14849	Dream	magic	6740	129	spell		79	magic	4										14439	6119	2795	Enter a dream-like state, causing your life points to regenerate at ten times their normal rate.
44699	Spiritual Healing	magic	6740	130	spell		80	magic	4										14449	6130	2795	Heal your familiar, boost its combat stats and extends its lifetime by 20% of its starting value. Can only be used once per familiar, and once every two minutes.
14851	String Jewellery	magic	6740	131	spell		80	magic	4										12517	16386	2795	Magically string all unstrung amulets in your backpack.
44700	Potion Share	magic	6740	132	spell		81	magic	4										14413	6054	2795	Shares the targeted, tradeable, standard potion between you and all players adjacent to you. Uses one dose per player, excluding you. Will not work on potions with a negative effect.
14853	Magic Imbue	magic	6740	133	spell		82	magic	4										14411	6052	2795	Allow the creation of combination runes without the need for an opposing talisman.
14854	Make Leather	magic	6740	134	spell		83	magic	4										14448	6129	2795	Magically tans all hides of a targeted type in your backpack.
14855	Fertile Soil	magic	6740	135	spell		83	magic	4										14412	6053	2795	Magically treat the targeted farming patch with supercompost.
44701	Telekinetic Grind	magic	6740	211	spell		85	magic	4										14460	6158	2795	Grinds down up to 60 of targeted item in your backpack that can be ground by a pestle and mortar. Divides items by teleporting their constituent parts a tiny distance away from each other.
14857	Fishing Guild Teleport	magic	6740	137	spell		85	magic	4										14414	6055	2795	Teleport to the Fishing Guild.
14858	Tele-group Fishing Guild	magic	6740	138	spell		86	magic	4										14432	6108	2795	Teleport yourself and all nearby players to the Fishing Guild.
14859	Plank Make	magic	6740	139	spell		86	magic	4										14440	6120	2795	Convert the targeted log into a plank.
14860	Catherby Teleport	magic	6740	140	spell		87	magic	4										14415	6056	2795	Teleport yourself to the allotment patches at Catherby.
14861	Tune Bane	magic	6740	141	spell		87	magic	4										14452	6150	2795	Tunes bane arrows and bane bolts to be more effective against certain creatures.<br>Can be cast on Jas arrows to tune them to a different creature.
14862	Tele-group Catherby	magic	6740	142	spell		88	magic	4										14433	6109	2795	Teleport yourself and all nearby players to Catherby.
14863	Ice Plateau Teleport	magic	6740	143	spell		89	magic	4										14416	6057	2795	Teleport yourself to Ice Plateau.
14864	Tele-group Ice Plateau	magic	6740	144	spell		90	magic	4										14434	6110	2795	Teleport yourself and all nearby players to Ice Plateau.
14865	Disruption Shield	magic	6740	145	spell		90	magic	4		100								14450	6148	2795	The next hit you receive from another player or NPC is negated.
14866	Heal Other	magic	6740	147	spell		92	magic	4										14419	6080	2795	Consume <col=ffffff>75%</col> of your current life points to heal the targeted player.
14867	Trollheim Farm Teleport	magic	6740	148	spell		92	magic	4										14453	6151	2795	Teleport yourself to the Trollheim farming patch.
14868	Tele-group Trollheim Farm	magic	6740	149	spell		92	magic	4										14454	6152	2795	Teleport yourself and all nearby players to the Trollheim farming patch.
14869	Vengeance Other	magic	6740	150	spell		93	magic	4		50		4411				725		14420	6081	2795	The next time the targeted player receives damage, <col=ffffff>75%</col> of the damage received is instead dealt to the attacker.
14870	Vengeance	magic	6740	151	spell		94	magic	4		50		4410			726			14423	6099	2795	The next time you receive damage, <col=ffffff>75%</col> of the damage received is instead dealt to the attacker.
14871	Vengeance Group	magic	6740	152	spell		95	magic	4		50		4411				725		14451	6149	2795	The next time any nearby player receives damage, <col=ffffff>75%</col> of the damage received is instead dealt to the attacker.
14872	Heal Group	magic	6740	153	spell		95	magic	4										14425	6101	2795	Consume <col=ffffff>75%</col> of your current lifepoints to heal all nearby players.
14873	Spellbook Swap	magic	6740	154	spell		96	magic	4										35016	35045	2795	Allows you to cast a single spell from the Standard or Ancient spellbooks.
6845	Spellbook Swap (Standard)	magic	6740	197	spell		96	magic	4										35018	35047	2795	Allows you to cast a single spell from the Standard spellbook.
6846	Spellbook Swap (Ancient)	magic	6740	198	spell		96	magic	4										35017	35046	2795	Allows you to cast a single spell from the Ancient spellbook.
44702	Trap Telekinesis	magic	6740	208	spell		97	magic	4										14462	6160	2795	Collects trapped animals and resets traps. Works on box, clockwork box, electrified, tortle and marasamaw traps.
14875	Home Teleport	magic	6740	155	spell		0	magic	4										36131	36174	2795	Teleport to the city hub of your choice.
7120	Max guild Teleport	magic	6740	199	spell		0	magic	4										36145	36184	2795	Teleport to the Max guild.
7121	Skeletal horror Teleport	magic	6740	200	spell		0	magic	4										36142	36185	2795	Teleport to the Skeletal horror.
7122	Kandarin monastery Teleport	magic	6740	201	spell		0	magic	4										36143	36187	2795	Teleport to the Kandarin monastery.
7123	Manor farm Teleport	magic	6740	202	spell		0	magic	4										36144	36186	2795	Teleport to the Manor farm.
11659	War's Retreat Teleport	magic	6740	205	spell		0	magic	4										35042	36188	2795	Teleport to War's Retreat.
49251	Christmas Village Teleport	magic	6740	246	spell		0	magic	4										31180	31181	2795	Teleport to the Christmas Village in the Land of Snow.
49603	Blooming Burrow Teleport	magic	6740	247	spell		0	magic	4										33606	33669	2795	Teleport to the Blooming Burrow in the Land of Glades.
50569	Harvest Hollow Teleport	magic	6740	248	spell		0	magic	4										34363	34420	2795	Teleport to the Harvest Hollow in the Land of Harvest.
14740	Enchant Crossbow Bolt	magic	6740	156	spell		4	magic	4				4463						14370	3458	2795	Enchant crossbow bolts to have additional magical effects when they are fired.
14874	Borrowed Power	magic	6740	157	spell		99	magic	4										12509	16376	2795	After setting Borrowed Power to a spell, allows you to cast that spell up to 1,000 times.
14876	Dungeon Home Teleport	magic	6740	158	spell		0	magic	4										36131	36174	2795	Teleport to the starting room of the dungeon.
14877	Create Gatestone	magic	6740	159	spell		32	magic	4										14507	6876	2795	Create a magical gatestone, which you can teleport to when placed on the floor.
14878	Gatestone Teleport	magic	6740	160	spell		32	magic	4										14508	6877	2795	Teleport to the location of your gatestone.
14879	Group Gatestone Teleport	magic	6740	161	spell		42	magic	4										14509	6878	2795	Teleport to the location of your group gatestone or party leader.
14880	Polypore Strike	magic	6740	162	spell		80	magic	4		4		18290				2036	2035	14396	3699	2795	A very powerful air spell.
19342	Sonic Wave	magic	6740	165	basic	1	6	magic	4	90	25			7122	36651				27430	27431	2795	A focused blast of magic that pummels the target.
19343	Concentrated Blast	magic	6740	166	basic	1	66	magic	4	90	9	6		10104	37340				13309	15183	2795	Blast the target with beams of concentrated energy.
19254	Sunshine	magic	6740	164	ultimate	4	76	magic	4	-1000	100	50		6712	18364				20183	20454	2795	Summon a sunbeam to shine over your location.
20279	Create Gatestone 2	magic	6740	167	spell		90	magic	4										20614	6873	2795	Create a magical gatestone 2, which you can teleport to when placed on the floor.
20280	Gatestone 2 Teleport	magic	6740	168	spell		90	magic	4										20615	6874	2795	Teleport to the location of your gatestone 2.
28180	Smoke Tendrils	magic	6740	169	threshold	2	75	magic	4	0	75	8		8805	23641	4665	4663		17501	3251	2795	Tendrils of smoke whip at the target's feet.
31985	Corruption Blast	magic	6740	172	threshold	2	70	magic	4	-200	25			7914	23958				19226	6455	2795	Blasts the target with corruption, causing them to take damage over time.
32244	Opal Aurora	magic	6740	173	spell		75	magic	4		4		18250				5781	5777	25935	6860	2795	A simple air spell. On hit will find all prisms within a <col=FFFFFF>3</col> square radius of the player and increase their duration by a small amount.
32245	Sapphire Aurora	magic	6740	174	spell		77	magic	4		4		18252				5783	5779	25934	6859	2795	A simple water spell. On hit has a chance to find all prisms within a <col=FFFFFF>3</col> square radius of the player and give a small buff to their ability when they next activate.
32246	Emerald Aurora	magic	6740	175	spell		79	magic	4		4		18253				5780	5776	25933	6858	2795	A simple earth spell. On hit will give the caster a small Damage Reduction buff. By <col=FFFFFF>1%</col> per stack, up to <col=FFFFFF>5</col> stacks.
